Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-10-18 00:00:00-04:00,33.630117644740096,33.64959687356487,32.89966328258478,32.90940475463867,4800,0.0,0.0,0.0
2018-10-19 00:00:00-04:00,33.21133393804421,33.21133393804421,32.45166235183711,32.50035858154297,4000,0.0,0.0,0.0
2018-10-22 00:00:00-04:00,32.792529766641394,33.055493785938204,32.63669964949696,33.036014556884766,5500,0.0,0.0,0.0
2018-10-23 00:00:00-04:00,32.276348470498206,32.72435966603212,31.72120335531843,32.61722946166992,31000,0.0,0.0,0.0
2018-10-24 00:00:00-04:00,32.25687101017188,32.25687101017188,31.292673110961914,31.292673110961914,4700,0.0,0.0,0.0
2018-10-25 00:00:00-04:00,31.691981934001785,32.48087029513546,31.60432725884436,32.334781646728516,20000,0.0,0.0,0.0
2018-10-26 00:00:00-04:00,31.049182071711456,31.701721435091134,30.669346363561473,30.981006622314453,24200,0.0,0.0,0.0
2018-10-29 00:00:00-04:00,31.35110289947527,31.39980283385943,29.607752620211624,29.783061981201172,28000,0.0,0.0,0.0
2018-10-30 00:00:00-04:00,29.831759891800846,30.698567130549183,29.831759891800846,30.688827514648438,36900,0.0,0.0,0.0
2018-10-31 00:00:00-04:00,31.351106178802244,31.64329095453628,30.942053437228605,31.623811721801758,11700,0.0,0.0,0.0
2018-11-01 00:00:00-04:00,31.36084797501199,32.821757007556485,31.36084797501199,32.812015533447266,6400,0.0,0.0,0.0
2018-11-02 00:00:00-04:00,33.12367418376657,33.298983556182684,32.50035362196865,32.675662994384766,7600,0.0,0.0,0.0
2018-11-05 00:00:00-05:00,32.597750113071655,32.70488403233508,32.02312576770899,32.43217849731445,9000,0.0,0.0,0.0
2018-11-06 00:00:00-05:00,32.743836524240784,32.743836524240784,32.19843292236328,32.19843292236328,5100,0.0,0.0,0.0
2018-11-07 00:00:00-05:00,32.821747671475336,33.68855285644531,32.60747988542604,33.68855285644531,34800,0.0,0.0,0.0
2018-11-08 00:00:00-05:00,33.63987229113598,33.65935152758938,33.230815756183524,33.26003646850586,4300,0.0,0.0,0.0
2018-11-09 00:00:00-05:00,32.97758140227916,33.18210773948436,32.373740147790066,32.51982879638672,12100,0.0,0.0,0.0
2018-11-12 00:00:00-05:00,32.422439401828285,32.422439401828285,31.497196346225707,31.867294311523438,8700,0.0,0.0,0.0
2018-11-13 00:00:00-05:00,31.818595466086165,32.32504435298845,31.54589364824787,31.79911994934082,18000,0.0,0.0,0.0
2018-11-14 00:00:00-05:00,32.480874068715515,32.480874068715515,31.565372467041016,31.565372467041016,3600,0.0,0.0,0.0
2018-11-15 00:00:00-05:00,31.52641333562591,32.03286220516925,31.477717114864404,31.867294311523438,4900,0.0,0.0,0.0
2018-11-16 00:00:00-05:00,31.896508005445906,32.02312113857122,31.555630780050567,31.886770248413086,5500,0.0,0.0,0.0
2018-11-19 00:00:00-05:00,31.691986433734264,31.691986433734264,30.57195472717285,30.57195472717285,10600,0.0,0.0,0.0
