Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-09-05 00:00:00-04:00,6.9382219314575195,11.101155090332032,6.9382219314575195,6.9382219314575195,931,0.0,0.0
1991-09-06 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,452,0.0,0.0
1991-09-09 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,56,0.0,0.0
1991-09-10 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,147,0.0,0.0
1991-09-11 00:00:00-04:00,8.325865745544434,9.71351073363511,8.325865745544434,8.325865745544434,373,0.0,0.0
1991-09-12 00:00:00-04:00,8.325865745544434,9.71351073363511,8.325865745544434,8.325865745544434,423,0.0,0.0
1991-09-13 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,2311,0.0,0.0
1991-09-16 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,186,0.0,0.0
1991-09-17 00:00:00-04:00,8.325865745544434,8.325865745544434,8.325865745544434,8.325865745544434,0,0.0,0.0
1991-09-18 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,40,0.0,0.0
1991-09-19 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,31,0.0,0.0
1991-09-20 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,99,0.0,0.0
1991-09-23 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,82,0.0,0.0
1991-09-24 00:00:00-04:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,37,0.0,0.0
1991-09-25 00:00:00-04:00,8.325865745544434,9.71351073363511,8.325865745544434,8.325865745544434,90,0.0,0.0
1991-09-26 00:00:00-04:00,8.325865745544434,9.71351073363511,8.325865745544434,8.325865745544434,214,0.0,0.0
1991-09-27 00:00:00-04:00,8.325865745544434,8.325865745544434,8.325865745544434,8.325865745544434,0,0.0,0.0
1991-09-30 00:00:00-04:00,8.325863717461731,8.325863717461731,5.5505762100219735,5.550576210021973,1326,0.0,0.0
1991-10-01 00:00:00-04:00,6.9382219314575195,8.325865720177651,6.9382219314575195,6.9382219314575195,11,0.0,0.0
1991-10-02 00:00:00-04:00,6.9382219314575195,8.325865720177651,6.9382219314575195,6.9382219314575195,82,0.0,0.0
1991-10-03 00:00:00-04:00,6.9382219314575195,8.325865720177651,6.9382219314575195,6.9382219314575195,282,0.0,0.0
1991-10-04 00:00:00-04:00,6.9382219314575195,8.325865720177651,6.9382219314575195,6.9382219314575195,138,0.0,0.0
1991-10-07 00:00:00-04:00,6.9382219314575195,9.713510704040528,6.9382219314575195,6.9382219314575195,71,0.0,0.0
1991-10-08 00:00:00-04:00,6.9382219314575195,9.713510704040528,6.9382219314575195,6.9382219314575195,556,0.0,0.0
1991-10-09 00:00:00-04:00,6.9382219314575195,9.713510704040528,6.9382219314575195,6.9382219314575195,2007,0.0,0.0
1991-10-10 00:00:00-04:00,6.9382219314575195,9.713510704040528,6.9382219314575195,6.9382219314575195,25,0.0,0.0
1991-10-11 00:00:00-04:00,6.9382219314575195,9.713510704040528,6.9382219314575195,6.9382219314575195,25,0.0,0.0
1991-10-14 00:00:00-04:00,6.9382219314575195,6.9382219314575195,6.9382219314575195,6.9382219314575195,0,0.0,0.0
1991-10-15 00:00:00-04:00,6.9382219314575195,9.713510704040528,6.9382219314575195,6.9382219314575195,40,0.0,0.0
1991-10-16 00:00:00-04:00,9.71351146697998,12.48880045754569,9.71351146697998,9.71351146697998,1216,0.0,0.0
1991-10-17 00:00:00-04:00,9.71351146697998,13.876444952828544,9.71351146697998,9.71351146697998,155,0.0,0.0
1991-10-18 00:00:00-04:00,9.71351146697998,13.876444952828544,9.71351146697998,9.71351146697998,56,0.0,0.0
1991-10-21 00:00:00-04:00,9.71351146697998,13.876444952828544,9.71351146697998,9.71351146697998,175,0.0,0.0
1991-10-22 00:00:00-04:00,9.71351146697998,12.48880045754569,9.71351146697998,9.71351146697998,418,0.0,0.0
1991-10-23 00:00:00-04:00,9.71351146697998,12.48880045754569,9.71351146697998,9.71351146697998,90,0.0,0.0
1991-10-24 00:00:00-04:00,9.71351146697998,12.48880045754569,9.71351146697998,9.71351146697998,246,0.0,0.0
1991-10-25 00:00:00-04:00,9.71351073363511,11.10115512415441,8.325865745544434,8.325865745544434,268,0.0,0.0
1991-10-28 00:00:00-05:00,8.325865745544434,11.10115512415441,8.325865745544434,8.325865745544434,308,0.0,0.0
1991-10-29 00:00:00-05:00,4.85675527575857,4.85675527575857,2.0814666748046875,2.0814666748046875,903,0.0,0.0
1991-10-30 00:00:00-05:00,4.162933349609375,6.938222249348958,4.162933349609375,4.162933349609375,2596,0.0,0.0
1991-10-31 00:00:00-05:00,4.162933349609375,5.550577799479166,4.162933349609375,4.162933349609375,4403,0.0,0.0
1991-11-01 00:00:00-05:00,4.162933349609375,5.550577799479166,4.162933349609375,4.162933349609375,576,0.0,0.0
