Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2011-07-13 00:00:00-04:00,11.993473651662216,11.993473651662216,11.979081153869629,11.979081153869629,4400,0.0,0.0,0.0
2011-07-14 00:00:00-04:00,11.979080319402906,11.983877818332907,11.969486236572266,11.969486236572266,3800,0.0,0.0,0.0
2011-07-15 00:00:00-04:00,11.969484844549267,11.969484844549267,11.91191577911377,11.91191577911377,300,0.0,0.0,0.0
2011-07-18 00:00:00-04:00,12.180563145861255,12.180563145861255,11.835151672363281,11.835151672363281,2500,0.0,0.0,0.0
2011-07-19 00:00:00-04:00,11.81116935150298,11.84475092022514,11.81116935150298,11.839953422546387,1200,0.0,0.0,0.0
2011-07-20 00:00:00-04:00,11.873538970947266,11.873538970947266,11.868741471660524,11.873538970947266,1400,0.0,0.0,0.0
2011-07-21 00:00:00-04:00,11.931108354563404,11.955094936585299,11.926310855153135,11.940702438354492,7200,0.0,0.0,0.0
2011-07-22 00:00:00-04:00,11.926307486670929,12.003065625496664,11.921509988615671,11.998268127441406,20900,0.0,0.0,0.0
2011-07-25 00:00:00-04:00,11.993471502321002,11.993471502321002,11.931105853121808,11.955092430114746,8600,0.0,0.0,0.0
2011-07-26 00:00:00-04:00,11.916715313164564,11.916715313164564,11.849552154541016,11.849552154541016,2500,0.0,0.0,0.0
2011-07-27 00:00:00-04:00,11.921516791287248,11.921516791287248,11.638470649719238,11.638470649719238,4200,0.0,0.0,0.0
2011-07-28 00:00:00-04:00,11.571297285945356,11.662446975708008,11.571297285945356,11.662446975708008,6500,0.0,0.0,0.0
2011-07-29 00:00:00-04:00,11.580898923555877,11.585696423258492,11.552114840369693,11.566507339477539,1100,0.0,0.0,0.0
2011-08-01 00:00:00-04:00,11.753599771366476,11.79197883605957,11.753599771366476,11.79197883605957,9700,0.0,0.0,0.0
2011-08-02 00:00:00-04:00,11.79197883605957,11.79197883605957,11.79197883605957,11.79197883605957,500,0.0,0.0,0.0
2011-08-03 00:00:00-04:00,11.873542266837608,11.878339767456055,11.868744766219162,11.878339767456055,700,0.0,0.0,0.0
2011-08-04 00:00:00-04:00,11.969481435672474,11.969481435672474,11.863938331604004,11.863938331604004,3900,0.0,0.0,0.0
2011-08-05 00:00:00-04:00,11.811174420271751,11.81597100497984,11.609684006439998,11.705631256103516,2800,0.0,0.0,0.0
2011-08-08 00:00:00-04:00,11.321843316530478,11.422588091639934,11.302653312683105,11.302653312683105,1000,0.0,0.0,0.0
2011-08-09 00:00:00-04:00,11.273865351083094,11.480153246465068,11.273865351083094,11.460963249206543,1900,0.0,0.0,0.0
2011-08-10 00:00:00-04:00,11.580897331237793,11.580897331237793,11.580897331237793,11.580897331237793,100,0.0,0.0,0.0
2011-08-11 00:00:00-04:00,11.753605338450031,11.753605338450031,11.672049672969809,11.705631256103516,2800,0.0,0.0,0.0
2011-08-12 00:00:00-04:00,11.830361086974898,11.859145164489746,11.830361086974898,11.859145164489746,200,0.0,0.0,0.0
2011-08-15 00:00:00-04:00,11.935905727986455,11.959893226623535,11.935905727986455,11.959893226623535,3400,0.0,0.0,0.0
2011-08-16 00:00:00-04:00,12.007866149454802,12.007866149454802,11.959892071842269,11.979081153869629,1900,0.0,0.0,0.0
2011-08-17 00:00:00-04:00,12.041449546813965,12.041449546813965,12.041449546813965,12.041449546813965,1000,0.0,0.0,0.0
2011-08-18 00:00:00-04:00,12.017460159804711,12.017460159804711,11.89752542401812,11.935904502868652,700,0.0,0.0,0.0
2011-08-19 00:00:00-04:00,11.935904502868652,11.935904502868652,11.935904502868652,11.935904502868652,0,0.0,0.0,0.0
2011-08-22 00:00:00-04:00,11.993470191955566,11.993470191955566,11.993470191955566,11.993470191955566,200,0.0,0.0,0.0
2011-08-23 00:00:00-04:00,12.569160989135687,12.569160989135687,12.055839538574219,12.055839538574219,1000,0.0,0.0,0.0
2011-08-24 00:00:00-04:00,12.060636875299986,12.075029373168945,12.055839376010335,12.075029373168945,2900,0.0,0.0,0.0
2011-08-25 00:00:00-04:00,12.070231282331841,12.070231282331841,12.036649703979492,12.036649703979492,3500,0.0,0.0,0.0
2011-08-26 00:00:00-04:00,12.036649703979492,12.036649703979492,12.036649703979492,12.036649703979492,0,0.0,0.0,0.0
2011-08-29 00:00:00-04:00,12.099017496329763,12.180573164587402,12.099017496329763,12.113409996032715,2100,0.0,0.0,0.0
2011-08-30 00:00:00-04:00,12.156585693359375,12.156585693359375,12.156585693359375,12.156585693359375,1400,0.0,0.0,0.0
2011-08-31 00:00:00-04:00,12.209365197197448,12.286123409770667,12.209365197197448,12.223756790161133,5800,0.0,0.0,0.0
2011-09-01 00:00:00-04:00,12.325202314742297,12.344527907206757,12.24789810180664,12.24789810180664,800,0.18,0.0,0.0
2011-09-02 00:00:00-04:00,12.223746646432732,12.223746646432732,12.204421043395996,12.204421043395996,2000,0.0,0.0,0.0
2011-09-06 00:00:00-04:00,12.180258144552107,12.194753032339754,12.175427436828613,12.175427436828613,1600,0.0,0.0,0.0
2011-09-07 00:00:00-04:00,12.175427436828613,12.175427436828613,12.175427436828613,12.175427436828613,0,0.0,0.0,0.0
2011-09-08 00:00:00-04:00,12.243073463439941,12.243073463439941,12.243073463439941,12.243073463439941,200,0.0,0.0,0.0
2011-09-09 00:00:00-04:00,12.204431844821155,12.214095115661621,12.204431844821155,12.214095115661621,1800,0.0,0.0,0.0
2011-09-12 00:00:00-04:00,12.238241832180499,12.243073463439941,12.156105943848841,12.243073463439941,1400,0.0,0.0,0.0
2011-09-13 00:00:00-04:00,12.373524689088681,12.37835632032714,12.310714404528142,12.315546035766602,3300,0.0,0.0,0.0
2011-09-14 00:00:00-04:00,12.359036765494116,12.36386839945747,12.354205131530762,12.354205131530762,6100,0.0,0.0,0.0
2011-09-15 00:00:00-04:00,12.32038120250488,12.32038120250488,12.276897430419922,12.276897430419922,5800,0.0,0.0,0.0
2011-09-16 00:00:00-04:00,12.2913916921583,12.2913916921583,12.272065162658691,12.272065162658691,6100,0.0,0.0,0.0
