Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Capital Gains
2025-06-13 00:00:00-04:00,31.934999465942383,31.934999465942383,31.934999465942383,32.08000183105469,105,0.0,0.0,0.0
2025-06-20 00:00:00-04:00,,,,,0,0.145,0.0,0.0
