Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Capital Gains
2016-04-27 00:00:00-04:00,30.746503829956055,30.80793478737595,30.74650382995606,30.80793478737595,200,0.0,0.0,0.0
2016-04-28 00:00:00-04:00,30.961673736572266,30.96776335014154,30.96167373657227,30.96776335014154,200,0.0,0.0,0.0
2016-04-29 00:00:00-04:00,30.961673736572266,30.96167373657227,30.96167373657227,30.96167373657227,0,0.0,0.0,0.0
2016-05-02 00:00:00-04:00,30.924779891967773,30.930928149813756,30.924779891967773,30.924779891967773,496,0.0,0.0,0.0
2016-05-03 00:00:00-04:00,30.924779891967773,30.924779891967773,30.924779891967773,30.924779891967773,0,0.0,0.0,0.0
2016-05-04 00:00:00-04:00,30.924779891967773,30.924779891967773,30.924779891967773,30.924779891967773,0,0.0,0.0,0.0
2016-05-05 00:00:00-04:00,30.826393127441406,30.826393127441406,30.826393127441406,30.826393127441406,279,0.0,0.0,0.0
2016-05-06 00:00:00-04:00,30.826393127441406,30.826393127441406,30.826393127441406,30.826393127441406,0,0.0,0.0,0.0
2016-05-09 00:00:00-04:00,30.777210235595703,30.777210235595707,30.777210235595707,30.777210235595707,148,0.0,0.0,0.0
2016-05-10 00:00:00-04:00,30.777210235595703,30.777210235595707,30.777210235595707,30.777210235595707,5700,0.0,0.0,0.0
2016-05-11 00:00:00-04:00,30.777210235595703,30.777210235595707,30.777210235595707,30.777210235595707,0,0.0,0.0,0.0
2016-05-12 00:00:00-04:00,30.764892578125,30.77719143780171,30.764892578125,30.77719143780171,4900,0.0,0.0,0.0
2016-05-13 00:00:00-04:00,30.764892578125,30.764892578125,30.764892578125,30.764892578125,0,0.0,0.0,0.0
2016-05-16 00:00:00-04:00,30.764892578125,30.764892578125,30.764892578125,30.764892578125,0,0.0,0.0,0.0
2016-05-17 00:00:00-04:00,30.764892578125,30.764892578125,30.764892578125,30.764892578125,0,0.0,0.0,0.0
2016-05-18 00:00:00-04:00,30.764892578125,30.764892578125,30.764892578125,30.764892578125,3900,0.0,0.0,0.0
2016-05-19 00:00:00-04:00,30.70340919494629,30.70340919494629,30.70340919494629,30.70340919494629,100,0.0,0.0,0.0
2016-05-20 00:00:00-04:00,30.70340919494629,30.70340919494629,30.70340919494629,30.70340919494629,0,0.0,0.0,0.0
2016-05-23 00:00:00-04:00,30.703392028808594,30.703392028808597,30.703392028808597,30.703392028808597,40,0.225,0.0,0.0
2016-05-24 00:00:00-04:00,30.879457473754883,30.879457473754883,30.77753431746197,30.77753431746197,3500,0.0,0.0,0.0
2016-05-25 00:00:00-04:00,30.879457473754883,30.879457473754883,30.879457473754883,30.879457473754883,0,0.0,0.0,0.0
2016-05-26 00:00:00-04:00,30.879457473754883,30.879457473754883,30.879457473754883,30.879457473754883,0,0.0,0.0,0.0
2016-05-27 00:00:00-04:00,30.879457473754883,30.879457473754883,30.879457473754883,30.879457473754883,0,0.0,0.0,0.0
2016-05-31 00:00:00-04:00,30.879457473754883,30.879457473754883,30.879457473754883,30.879457473754883,0,0.0,0.0,0.0
2016-06-01 00:00:00-04:00,31.02584457397461,31.02584457397461,31.02584457397461,31.02584457397461,597,0.0,0.0,0.0
2016-06-02 00:00:00-04:00,31.02584457397461,31.02584457397461,31.02584457397461,31.02584457397461,0,0.0,0.0,0.0
2016-06-03 00:00:00-04:00,31.02584457397461,31.02584457397461,31.02584457397461,31.02584457397461,0,0.0,0.0,0.0
2016-06-06 00:00:00-04:00,31.02584457397461,31.02584457397461,31.02584457397461,31.02584457397461,0,0.0,0.0,0.0
2016-06-07 00:00:00-04:00,31.179035186767578,31.179035186767578,31.179035186767578,31.179035186767578,199,0.0,0.0,0.0
2016-06-08 00:00:00-04:00,31.222278594970703,31.222278594970707,31.222278594970707,31.222278594970707,100,0.0,0.0,0.0
2016-06-09 00:00:00-04:00,31.39832305908203,31.39832305908203,31.39832305908203,31.39832305908203,557,0.0,0.0,0.0
2016-06-10 00:00:00-04:00,31.39832305908203,31.39832305908203,31.39832305908203,31.39832305908203,0,0.0,0.0,0.0
2016-06-13 00:00:00-04:00,31.39832305908203,31.39832305908203,31.39832305908203,31.39832305908203,0,0.0,0.0,0.0
2016-06-14 00:00:00-04:00,31.39832305908203,31.39832305908203,31.39832305908203,31.39832305908203,0,0.0,0.0,0.0
2016-06-15 00:00:00-04:00,31.052410125732422,31.05241012573242,31.05241012573242,31.05241012573242,39,0.0,0.0,0.0
2016-06-16 00:00:00-04:00,30.9473876953125,30.9473876953125,30.88561740306062,30.88561740306062,700,0.0,0.0,0.0
2016-06-17 00:00:00-04:00,30.9473876953125,30.9473876953125,30.9473876953125,30.9473876953125,0,0.0,0.0,0.0
2016-06-20 00:00:00-04:00,31.000226974487305,31.00022697448731,31.00022697448731,31.00022697448731,200,0.225,0.0,0.0
2016-06-21 00:00:00-04:00,31.13663673400879,31.13663673400879,31.13663673400879,31.13663673400879,3600,0.0,0.0,0.0
2016-06-22 00:00:00-04:00,31.13663673400879,31.13663673400879,31.13663673400879,31.13663673400879,0,0.0,0.0,0.0
2016-06-23 00:00:00-04:00,31.2607479095459,31.2607479095459,31.2607479095459,31.2607479095459,13003,0.0,0.0,0.0
2016-06-24 00:00:00-04:00,31.2607479095459,31.2607479095459,31.2607479095459,31.2607479095459,60,0.0,0.0,0.0
2016-06-27 00:00:00-04:00,31.2607479095459,31.2607479095459,31.2607479095459,31.2607479095459,0,0.0,0.0,0.0
2016-06-28 00:00:00-04:00,30.86983299255371,30.86983299255371,30.86983299255371,30.86983299255371,100,0.0,0.0,0.0
2016-06-29 00:00:00-04:00,30.975324630737305,30.981530949409255,30.94430013842867,30.947403297764644,23000,0.0,0.0,0.0
2016-06-30 00:00:00-04:00,31.118032455444336,31.118032455444336,31.024956638721633,31.024956638721633,12297,0.0,0.0,0.0
2016-07-01 00:00:00-04:00,31.118032455444336,31.118032455444336,31.118032455444336,31.118032455444336,50,0.0,0.0,0.0
2016-07-05 00:00:00-04:00,31.118032455444336,31.118032455444336,31.118032455444336,31.118032455444336,0,0.0,0.0,0.0
2016-07-06 00:00:00-04:00,31.118032455444336,31.118032455444336,31.118032455444336,31.118032455444336,0,0.0,0.0,0.0
2016-07-07 00:00:00-04:00,31.118032455444336,31.118032455444336,31.118032455444336,31.118032455444336,20,0.0,0.0,0.0
2016-07-08 00:00:00-04:00,31.539968490600586,31.539968490600586,31.539968490600586,31.539968490600586,225,0.0,0.0,0.0
2016-07-11 00:00:00-04:00,31.539968490600586,31.539968490600586,31.539968490600586,31.539968490600586,0,0.0,0.0,0.0
2016-07-12 00:00:00-04:00,31.539968490600586,31.539968490600586,31.539968490600586,31.539968490600586,0,0.0,0.0,0.0
2016-07-13 00:00:00-04:00,31.799901962280273,31.799901962280273,31.799901962280273,31.799901962280273,163,0.0,0.0,0.0
