Date,Close,Dividends,High,Low,Open,Volume,Stock Splits
2001-01-01 00:00:00+09:00,1077.999267578125,0.0,1077.999267578125,1077.999267578125,1077.999267578125,0,0.0
2001-01-02 00:00:00+09:00,1077.999267578125,0.0,1077.999267578125,1077.999267578125,1077.999267578125,0,0.0
2001-01-03 00:00:00+09:00,1077.999267578125,0.0,1077.999267578125,1077.999267578125,1077.999267578125,0,0.0
2001-01-04 00:00:00+09:00,1076.6187744140625,0.0,1077.9990548940805,1076.6187744140625,1077.9990548940805,2500,0.0
2001-01-05 00:00:00+09:00,1102.8446044921875,0.0,1102.8446044921875,1076.6192634592069,1090.4220745291966,1500,0.0
2001-01-08 00:00:00+09:00,1102.8446044921875,0.0,1102.8446044921875,1102.8446044921875,1102.8446044921875,0,0.0
2001-01-09 00:00:00+09:00,1072.4779052734375,0.0,1086.280709717111,1072.4779052734375,1086.280709717111,2000,0.0
2001-01-10 00:00:00+09:00,1062.8157958984375,0.0,1073.8580379337461,1049.0129933543021,1049.0129933543021,4500,0.0
2001-01-11 00:00:00+09:00,1076.6187744140625,0.0,1090.4215792142427,1076.6187744140625,1090.4215792142427,2000,0.0
2001-01-12 00:00:00+09:00,1076.6187744140625,0.0,1076.6187744140625,1062.815969613882,1076.6187744140625,3500,0.0
2001-01-15 00:00:00+09:00,1062.8157958984375,0.0,1076.618598442573,1062.8157958984375,1076.618598442573,3500,0.0
2001-01-16 00:00:00+09:00,1076.6187744140625,0.0,1076.6187744140625,1062.815969613882,1064.1962500939003,2000,0.0
2001-01-17 00:00:00+09:00,1076.6187744140625,0.0,1076.6187744140625,1076.6187744140625,1076.6187744140625,0,0.0
2001-01-18 00:00:00+09:00,1076.6187744140625,0.0,1076.6187744140625,1076.6187744140625,1076.6187744140625,4000,0.0
2001-01-19 00:00:00+09:00,1076.6187744140625,0.0,1076.6187744140625,1064.1962500939003,1076.6187744140625,5500,0.0
2001-01-22 00:00:00+09:00,1051.7740478515625,0.0,1062.8162950731012,1049.0134860461778,1062.8162950731012,8500,0.0
2001-01-23 00:00:00+09:00,1049.01318359375,0.0,1050.3934640984787,1044.872342079564,1050.3934640984787,4500,0.0
2001-01-24 00:00:00+09:00,1040.7315673828125,0.0,1042.1118479761585,1037.9710061961207,1042.1118479761585,10500,0.0
2001-01-25 00:00:00+09:00,1042.111572265625,0.0,1042.111572265625,1036.5904513529595,1036.5904513529595,14500,0.0
2001-01-26 00:00:00+09:00,1035.21044921875,0.0,1046.2526940104167,1035.21044921875,1044.8724134114584,19500,0.0
2001-01-29 00:00:00+09:00,1037.970947265625,0.0,1047.6329108704913,1036.5906667506442,1036.5906667506442,2500,0.0
2001-01-30 00:00:00+09:00,1037.970947265625,0.0,1042.1117888105678,1035.2103862356632,1042.1117888105678,14000,0.0
2001-01-31 00:00:00+09:00,1036.5909423828125,0.0,1039.3515041468147,1035.2106615008115,1037.9712232648135,6000,0.0
2001-02-01 00:00:00+09:00,1029.689208984375,0.0,1046.252574276349,1029.689208984375,1035.2103307483662,8000,0.0
2001-02-02 00:00:00+09:00,1035.21044921875,0.0,1035.21044921875,1021.4076432291666,1021.4076432291666,8000,0.0
2001-02-05 00:00:00+09:00,1100.0833740234375,0.0,1100.0833740234375,1021.407398716868,1035.210201402231,13000,0.0
2001-02-06 00:00:00+09:00,1089.0411376953125,0.0,1090.4214179712253,1044.8721688660983,1090.4214179712253,10500,0.0
2001-02-07 00:00:00+09:00,1064.1966552734375,0.0,1094.5628373953775,1064.1966552734375,1094.5628373953775,4000,0.0
2001-02-08 00:00:00+09:00,1049.01318359375,0.0,1062.8159886410363,1049.01318359375,1062.8159886410363,1500,0.0
2001-02-09 00:00:00+09:00,1068.337158203125,0.0,1075.2385610338947,1068.337158203125,1075.2385610338947,2000,0.0
2001-02-12 00:00:00+09:00,1068.337158203125,0.0,1068.337158203125,1068.337158203125,1068.337158203125,0,0.0
2001-02-13 00:00:00+09:00,1076.6187744140625,0.0,1076.6187744140625,1075.2384939340445,1076.6187744140625,6500,0.0
2001-02-14 00:00:00+09:00,1076.6187744140625,0.0,1076.6187744140625,1076.6187744140625,1076.6187744140625,2000,0.0
2001-02-15 00:00:00+09:00,1073.8582763671875,0.0,1076.6188374889541,1064.1963124410047,1076.6188374889541,8000,0.0
2001-02-16 00:00:00+09:00,1073.8582763671875,0.0,1073.8582763671875,1073.8582763671875,1073.8582763671875,1000,0.0
2001-02-19 00:00:00+09:00,1062.8157958984375,0.0,1069.7171971705054,1062.8157958984375,1069.7171971705054,1000,0.0
2001-02-20 00:00:00+09:00,1062.8157958984375,0.0,1066.9566366616782,1049.0129933543021,1066.9566366616782,7000,0.0
2001-02-21 00:00:00+09:00,1049.01318359375,0.0,1062.8159886410363,1049.01318359375,1062.8159886410363,3000,0.0
2001-02-22 00:00:00+09:00,1035.21044921875,0.0,1049.0132552083332,1035.21044921875,1049.0132552083332,3000,0.0
2001-02-23 00:00:00+09:00,1035.21044921875,0.0,1042.1118522135416,1028.3090462239584,1035.21044921875,14000,0.0
2001-02-26 00:00:00+09:00,1021.4078979492188,0.0,1035.210707380965,1020.0276170060441,1035.210707380965,20500,0.0
2001-02-27 00:00:00+09:00,1047.633056640625,0.0,1047.633056640625,1014.5063196717514,1021.4077232069334,15500,0.0
