Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21 00:00:00-05:00,1.520079493522644,1.5291817659389473,1.520079493522644,1.520079493522644,10200,0.0,0.0
1973-02-22 00:00:00-05:00,1.520079493522644,1.5291817659389473,1.5109772211063408,1.520079493522644,5600,0.0,0.0
1973-02-23 00:00:00-05:00,1.5200795651901338,1.5382841108810335,1.5200795651901338,1.5291818380355835,1800,0.0,0.0
1973-02-26 00:00:00-05:00,1.5291818380355837,1.5382841108810335,1.5200795651901338,1.5291818380355835,7200,0.0,0.0
1973-02-27 00:00:00-05:00,1.5291818380355837,1.5291818380355837,1.5291818380355837,1.5291818380355835,2400,0.0,0.0
1973-02-28 00:00:00-05:00,1.5291818380355837,1.5291818380355837,1.5200795651901338,1.5291818380355835,2000,0.0,0.0
1973-03-01 00:00:00-05:00,1.529182175555861,1.529182175555861,1.5109776258468628,1.5109776258468628,5600,0.0,0.0
1973-03-02 00:00:00-05:00,1.5109772211063408,1.5291817659389473,1.5109772211063408,1.520079493522644,3200,0.0,0.0
1973-03-05 00:00:00-05:00,1.520079900701362,1.529182175555861,1.5109776258468628,1.5109776258468628,4000,0.0,0.0
1973-03-06 00:00:00-05:00,1.520079493522644,1.5291817659389473,1.520079493522644,1.520079493522644,5200,0.0,0.0
1973-03-07 00:00:00-05:00,1.5200795651901338,1.5291818380355837,1.5200795651901338,1.5291818380355835,3800,0.0,0.0
1973-03-08 00:00:00-05:00,1.5291817659389473,1.5291817659389473,1.5109772211063408,1.520079493522644,9200,0.0,0.0
1973-03-09 00:00:00-05:00,1.520079900701362,1.529182175555861,1.5109776258468628,1.5109776258468628,5400,0.0,0.0
1973-03-12 00:00:00-05:00,1.5109772211063408,1.5291817659389473,1.5109772211063408,1.520079493522644,3200,0.0,0.0
1973-03-13 00:00:00-05:00,1.520079900701362,1.529182175555861,1.5109776258468628,1.5109776258468628,5400,0.0,0.0
1973-03-14 00:00:00-05:00,1.5109776258468628,1.529182175555861,1.5018753509923637,1.5109776258468628,5600,0.0,0.0
1973-03-15 00:00:00-05:00,1.5109776258468628,1.529182175555861,1.5109776258468628,1.5109776258468628,4400,0.0,0.0
1973-03-16 00:00:00-05:00,1.5109776258468628,1.520079900701362,1.4927730761378644,1.5109776258468628,48000,0.0,0.0
1973-03-19 00:00:00-05:00,1.5109775557662501,1.520079830198577,1.5018752813339233,1.5018752813339233,5400,0.0,0.0
1973-03-20 00:00:00-05:00,1.5018752813339233,1.520079830198577,1.4927730069015965,1.5018752813339233,6000,0.0,0.0
1973-03-21 00:00:00-05:00,1.5018752813339233,1.5018752813339233,1.4927730069015965,1.5018752813339233,6800,0.0,0.0
1973-03-22 00:00:00-05:00,1.5018749486900373,1.520079493522644,1.4927726762737341,1.520079493522644,4800,0.0,0.0
1973-03-23 00:00:00-05:00,1.5109775557662501,1.5109775557662501,1.4927730069015965,1.5018752813339233,2400,0.0,0.0
1973-03-26 00:00:00-05:00,1.5018760503792181,1.5109783294724255,1.4927737712860107,1.4927737712860107,4400,0.0,0.0
1973-03-27 00:00:00-05:00,1.4927730761378644,1.5109776258468628,1.4927730761378644,1.5109776258468628,3000,0.0,0.0
1973-03-28 00:00:00-05:00,1.5109776258468628,1.5109776258468628,1.5018753509923637,1.5109776258468628,2600,0.0,0.0
1973-03-29 00:00:00-05:00,1.5109776258468628,1.5109776258468628,1.5018753509923637,1.5109776258468628,2000,0.0,0.0
1973-03-30 00:00:00-05:00,1.5109776258468628,1.5109776258468628,1.4927730761378644,1.5109776258468628,2400,0.0,0.0
1973-04-02 00:00:00-05:00,1.5109776258468628,1.5109776258468628,1.4927730761378644,1.5109776258468628,6400,0.0,0.0
1973-04-03 00:00:00-05:00,1.5109772211063408,1.520079493522644,1.5018749486900373,1.520079493522644,4400,0.0,0.0
1973-04-04 00:00:00-05:00,1.5200795651901338,1.5291818380355837,1.5109772923446838,1.5291818380355835,3400,0.0,0.0
1973-04-05 00:00:00-05:00,1.5291818380355837,1.5291818380355837,1.5200795651901338,1.5291818380355835,3000,0.0,0.0
1973-04-06 00:00:00-05:00,1.5291818380355837,1.5382841108810335,1.5109772923446838,1.5291818380355835,5600,0.0,0.0
1973-04-09 00:00:00-05:00,1.5291818380355837,1.5291818380355837,1.5109772923446838,1.5291818380355835,3800,0.0,0.0
1973-04-10 00:00:00-05:00,1.5291824509115781,1.5473870038986206,1.5291824509115781,1.5473870038986206,5200,0.0,0.0
1973-04-11 00:00:00-05:00,1.5473862159887009,1.565590759706215,1.5382839441299438,1.5382839441299438,2800,0.0,0.0
1973-04-12 00:00:00-05:00,1.5382839441299438,1.5564884878474579,1.5291816722711868,1.5382839441299438,1800,0.0,0.0
1973-04-13 00:00:00-05:00,1.5382841108810335,1.5473863837264834,1.5291818380355837,1.5291818380355835,3200,0.0,0.0
1973-04-16 00:00:00-05:00,1.5291818380355837,1.5291818380355837,1.5200795651901338,1.5291818380355835,1600,0.0,0.0
1973-04-17 00:00:00-05:00,1.5291818380355837,1.5291818380355837,1.5109772923446838,1.5291818380355835,2200,0.0,0.0
1973-04-18 00:00:00-05:00,1.5291818380355837,1.5382841108810335,1.5200795651901338,1.5291818380355835,5400,0.0,0.0
1973-04-19 00:00:00-05:00,1.5291816722711868,1.5473862159887009,1.5291816722711868,1.5382839441299438,2800,0.0,0.0
1973-04-23 00:00:00-05:00,1.5382847274050993,1.5655915568856633,1.5382847274050993,1.5473870038986206,3600,0.0,0.0
1973-04-24 00:00:00-05:00,1.5473870038986206,1.5655915568856633,1.5473870038986206,1.5473870038986206,3600,0.0,0.0
1973-04-25 00:00:00-05:00,1.5473870038986206,1.556489280392142,1.5473870038986206,1.5473870038986206,6000,0.0,0.0
1973-04-26 00:00:00-05:00,1.556488037109375,1.5746925755550987,1.556488037109375,1.556488037109375,4400,0.0,0.0
1973-04-27 00:00:00-05:00,1.556488037109375,1.5746925755550987,1.5291812294407894,1.556488037109375,13400,0.0,0.0
1973-04-30 00:00:00-04:00,1.556488037109375,1.5746925755550987,1.547385767886513,1.556488037109375,9400,0.0,0.0
1973-05-01 00:00:00-04:00,1.556488037109375,1.5746925755550987,1.547385767886513,1.556488037109375,6200,0.0,0.0
1973-05-02 00:00:00-04:00,1.556488037109375,1.556488037109375,1.556488037109375,1.556488037109375,1400,0.0,0.0
1973-05-03 00:00:00-04:00,1.556489280392142,1.556489280392142,1.5291824509115781,1.5473870038986206,7800,0.0,0.0
1973-05-04 00:00:00-04:00,1.5473870038986206,1.5473870038986206,1.5291824509115781,1.5473870038986206,5600,0.0,0.0
1973-05-07 00:00:00-04:00,1.5473870038986206,1.5473870038986206,1.5291824509115781,1.5473870038986206,7200,0.0,0.0
1973-05-08 00:00:00-04:00,1.5473863837264834,1.5473863837264834,1.5291818380355837,1.5291818380355835,3600,0.0,0.0
1973-05-09 00:00:00-04:00,1.5382839441299438,1.5473862159887009,1.5382839441299438,1.5382839441299438,3800,0.0,0.0
1973-05-10 00:00:00-04:00,1.5473870038986206,1.5473870038986206,1.5473870038986206,1.5473870038986206,3400,0.0,0.0
1973-05-11 00:00:00-04:00,1.5473870038986206,1.5473870038986206,1.5473870038986206,1.5473870038986206,3200,0.0,0.0
1973-05-14 00:00:00-04:00,1.5473870038986206,1.5655915568856633,1.5473870038986206,1.5473870038986206,5600,0.0,0.0
1973-05-15 00:00:00-04:00,1.5291817659389473,1.5291817659389473,1.520079493522644,1.520079493522644,4400,0.0,0.0
1973-05-16 00:00:00-04:00,1.520079493522644,1.5291817659389473,1.5109772211063408,1.520079493522644,5200,0.0,0.0
1973-05-17 00:00:00-04:00,1.5200795651901338,1.5291818380355837,1.5109772923446838,1.5291818380355835,2800,0.0,0.0
1973-05-18 00:00:00-04:00,1.5291818380355837,1.5291818380355837,1.5109772923446838,1.5291818380355835,5000,0.0,0.0
1973-05-21 00:00:00-04:00,1.5291816722711868,1.5382839441299438,1.5109771285536726,1.5382839441299438,4200,0.0,0.0
1973-05-22 00:00:00-04:00,1.529182175555861,1.529182175555861,1.5018753509923637,1.5109776258468628,2200,0.0,0.0
1973-05-23 00:00:00-04:00,1.5018760503792181,1.5018760503792181,1.4927737712860107,1.4927737712860107,5400,0.0,0.0
1973-05-24 00:00:00-04:00,1.5018749486900373,1.520079493522644,1.5018749486900373,1.520079493522644,2600,0.0,0.0
1973-05-25 00:00:00-04:00,1.5200795651901338,1.5291818380355837,1.5018750194992339,1.5291818380355835,3800,0.0,0.0
1973-05-29 00:00:00-04:00,1.520079493522644,1.520079493522644,1.5018749486900373,1.520079493522644,7200,0.0,0.0
1973-05-30 00:00:00-04:00,1.520079830198577,1.520079830198577,1.5018752813339233,1.5018752813339233,2400,0.0,0.0
1973-05-31 00:00:00-04:00,1.5018752813339233,1.520079830198577,1.5018752813339233,1.5018752813339233,2800,0.0,0.0
1973-06-01 00:00:00-04:00,1.5018749486900373,1.520079493522644,1.5018749486900373,1.520079493522644,600,0.0,0.0
1973-06-04 00:00:00-04:00,1.520079830198577,1.520079830198577,1.5018752813339233,1.5018752813339233,4800,0.0,0.0
1973-06-05 00:00:00-04:00,1.5018753509923637,1.520079900701362,1.5018753509923637,1.5109776258468628,2000,0.0,0.0
1973-06-06 00:00:00-04:00,1.5109772211063408,1.520079493522644,1.5109772211063408,1.520079493522644,1400,0.0,0.0
1973-06-07 00:00:00-04:00,1.520079900701362,1.529182175555861,1.5109776258468628,1.5109776258468628,3400,0.0,0.0
1973-06-08 00:00:00-04:00,1.5109766909950657,1.556488037109375,1.5018744217722038,1.556488037109375,4000,0.0,0.0
1973-06-11 00:00:00-04:00,1.5564884878474579,1.574693031564972,1.5382839441299438,1.5382839441299438,3600,0.0,0.0
1973-06-12 00:00:00-04:00,1.5382841108810335,1.5564886565719334,1.5291818380355837,1.5291818380355835,4600,0.0,0.0
1973-06-13 00:00:00-04:00,1.5291818380355837,1.5473863837264834,1.5200795651901338,1.5291818380355835,2400,0.0,0.0
1973-06-14 00:00:00-04:00,1.5291818380355837,1.5473863837264834,1.5291818380355837,1.5291818380355835,2400,0.0,0.0
1973-06-15 00:00:00-04:00,1.5291818380355837,1.5291818380355837,1.5200795651901338,1.5291818380355835,1200,0.0,0.0
1973-06-18 00:00:00-04:00,1.5291817659389473,1.5382840383552505,1.520079493522644,1.520079493522644,4400,0.0,0.0
1973-06-19 00:00:00-04:00,1.5200801744180568,1.5473870038986206,1.5200801744180568,1.5473870038986206,2200,0.0,0.0
1973-06-20 00:00:00-04:00,1.5473862159887009,1.5473862159887009,1.5382839441299438,1.5382839441299438,1600,0.0,0.0
1973-06-21 00:00:00-04:00,1.5382839441299438,1.5382839441299438,1.5382839441299438,1.5382839441299438,800,0.0,0.0
1973-06-22 00:00:00-04:00,1.5382840383552505,1.5473863107715538,1.520079493522644,1.520079493522644,2400,0.0,0.0
1973-06-25 00:00:00-04:00,1.5200794004124296,1.5382839441299438,1.5200794004124296,1.5382839441299438,2200,0.0,0.0
1973-06-26 00:00:00-04:00,1.5382839441299438,1.5382839441299438,1.5200794004124296,1.5382839441299438,2000,0.0,0.0
1973-06-27 00:00:00-04:00,1.5382847274050993,1.5473870038986206,1.5200801744180568,1.5473870038986206,3000,0.0,0.0
1973-06-28 00:00:00-04:00,1.5473863107715538,1.5473863107715538,1.520079493522644,1.520079493522644,2800,0.0,0.0
1973-06-29 00:00:00-04:00,1.5200795651901338,1.5291818380355837,1.5200795651901338,1.5291818380355835,2400,0.0,0.0
1973-07-02 00:00:00-04:00,1.5291816722711868,1.5382839441299438,1.5200794004124296,1.5382839441299438,3800,0.0,0.0
1973-07-03 00:00:00-04:00,1.520079493522644,1.520079493522644,1.5109772211063408,1.520079493522644,1200,0.0,0.0
1973-07-05 00:00:00-04:00,1.5109776258468628,1.5109776258468628,1.5109776258468628,1.5109776258468628,6200,0.0,0.0
1973-07-06 00:00:00-04:00,1.5109776258468628,1.520079900701362,1.5109776258468628,1.5109776258468628,3600,0.0,0.0
1973-07-09 00:00:00-04:00,1.5109772923446838,1.5291818380355837,1.5109772923446838,1.5291818380355835,2400,0.0,0.0
1973-07-10 00:00:00-04:00,1.5291816722711868,1.5382839441299438,1.5291816722711868,1.5382839441299438,1000,0.0,0.0
1973-07-11 00:00:00-04:00,1.520079493522644,1.520079493522644,1.520079493522644,1.520079493522644,6200,0.0,0.0
1973-07-12 00:00:00-04:00,1.5200794004124296,1.5382839441299438,1.5200794004124296,1.5382839441299438,6000,0.0,0.0
1973-07-13 00:00:00-04:00,1.5382841108810335,1.5473863837264834,1.5291818380355837,1.5291818380355835,1000,0.0,0.0
1973-07-16 00:00:00-04:00,1.5291816722711868,1.5382839441299438,1.5109771285536726,1.5382839441299438,2600,0.0,0.0
1973-07-17 00:00:00-04:00,1.5382841108810335,1.5564886565719334,1.5291818380355837,1.5291818380355835,2800,0.0,0.0
1973-07-18 00:00:00-04:00,1.5291824509115781,1.5473870038986206,1.5291824509115781,1.5473870038986206,1600,0.0,0.0
1973-07-19 00:00:00-04:00,1.5473863837264834,1.5473863837264834,1.5291818380355837,1.5291818380355835,1800,0.0,0.0
1973-07-20 00:00:00-04:00,1.5291816722711868,1.5473862159887009,1.5291816722711868,1.5382839441299438,3000,0.0,0.0
1973-07-23 00:00:00-04:00,1.5382844504103603,1.5473867252648594,1.5109776258468628,1.5109776258468628,2600,0.0,0.0
1973-07-24 00:00:00-04:00,1.5109776258468628,1.529182175555861,1.5109776258468628,1.5109776258468628,4000,0.0,0.0
1973-07-25 00:00:00-04:00,1.5109775557662501,1.520079830198577,1.5018752813339233,1.5018752813339233,4600,0.0,0.0
1973-07-26 00:00:00-04:00,1.5018753509923637,1.520079900701362,1.5018753509923637,1.5109776258468628,1400,0.0,0.0
1973-07-27 00:00:00-04:00,1.5018752813339233,1.5018752813339233,1.4927730069015965,1.5018752813339233,3600,0.0,0.0
1973-07-30 00:00:00-04:00,1.5018760503792181,1.5109783294724255,1.4927737712860107,1.4927737712860107,1600,0.0,0.0
1973-07-31 00:00:00-04:00,1.4927730069015965,1.5018752813339233,1.4927730069015965,1.5018752813339233,3200,0.0,0.0
1973-08-01 00:00:00-04:00,1.5018760503792181,1.5018760503792181,1.4927737712860107,1.4927737712860107,1800,0.0,0.0
1973-08-02 00:00:00-04:00,1.4927730069015965,1.5018752813339233,1.4836707324692697,1.5018752813339233,1800,0.0,0.0
1973-08-03 00:00:00-04:00,1.4927726733831712,1.4927726733831712,1.4745681285858154,1.4745681285858154,1800,0.0,0.0
1973-08-06 00:00:00-04:00,1.4836707324692697,1.5018752813339233,1.4836707324692697,1.5018752813339233,400,0.0,0.0
1973-08-07 00:00:00-04:00,1.4927733285086495,1.4927733285086495,1.465466499328613,1.4654664993286133,5200,0.0,0.0
1973-08-08 00:00:00-04:00,1.4654654564301661,1.4836699962615967,1.4563631865144508,1.4836699962615967,7400,0.0,0.0
1973-08-09 00:00:00-04:00,1.4654666555078724,1.4654666555078724,1.4381598234176636,1.4381598234176636,5000,0.0,0.0
1973-08-10 00:00:00-04:00,1.4381598234176636,1.4472621007810664,1.4381598234176636,1.4381598234176636,2000,0.0,0.0
1973-08-13 00:00:00-04:00,1.4381598234176636,1.4381598234176636,1.4199552686908576,1.4381598234176636,3200,0.0,0.0
1973-08-14 00:00:00-04:00,1.4290571812762332,1.4290571812762332,1.356238980956425,1.374443531036377,6400,0.0,0.0
1973-08-15 00:00:00-04:00,1.3744437011082966,1.3835459772745768,1.3653414249420166,1.3653414249420166,10000,0.0,0.0
1973-08-16 00:00:00-04:00,1.3653419127589779,1.3835464715957642,1.3562396333405846,1.3835464715957642,6400,0.0,0.0
1973-08-17 00:00:00-04:00,1.3835450704995687,1.401749610900879,1.3835450704995687,1.401749610900879,4400,0.0,0.0
1973-08-20 00:00:00-04:00,1.401749610900879,1.401749610900879,1.3653405300982586,1.401749610900879,3000,0.0,0.0
1973-08-21 00:00:00-04:00,1.401750356156305,1.401750356156305,1.374443531036377,1.374443531036377,6000,0.0,0.0
1973-08-22 00:00:00-04:00,1.3744437011082966,1.401750529607137,1.3653414249420166,1.3653414249420166,3400,0.0,0.0
1973-08-23 00:00:00-04:00,1.3835464715957642,1.4017510304325507,1.3835464715957642,1.3835464715957642,2600,0.0,0.0
1973-08-24 00:00:00-04:00,1.3835450704995687,1.401749610900879,1.3835450704995687,1.401749610900879,1200,0.0,0.0
1973-08-27 00:00:00-04:00,1.401750356156305,1.419954906236257,1.374443531036377,1.374443531036377,3000,0.0,0.0
1973-08-28 00:00:00-04:00,1.3744431975620244,1.3926477432250977,1.365340924730488,1.3926477432250977,2800,0.0,0.0
1973-08-29 00:00:00-04:00,1.3926487510141574,1.410853309850944,1.3835464715957642,1.3835464715957642,2800,0.0,0.0
1973-08-30 00:00:00-04:00,1.383545470393561,1.4017500160566343,1.383545470393561,1.3926477432250977,1800,0.0,0.0
1973-08-31 00:00:00-04:00,1.3926473407002238,1.410851881101534,1.3835450704995687,1.401749610900879,3200,0.0,0.0
1973-09-04 00:00:00-04:00,1.4017496399390392,1.4199541807174683,1.4017496399390392,1.4199541807174683,1400,0.0,0.0
1973-09-05 00:00:00-04:00,1.4199552686908576,1.4381598234176636,1.4199552686908576,1.4381598234176636,1200,0.0,0.0
1973-09-06 00:00:00-04:00,1.4381594163066935,1.4563639658801961,1.4381594163066935,1.4472616910934448,2600,0.0,0.0
1973-09-07 00:00:00-04:00,1.4472616910934448,1.4563639658801961,1.4472616910934448,1.4472616910934448,4800,0.0,0.0
1973-09-10 00:00:00-04:00,1.4472616910934448,1.4472616910934448,1.4472616910934448,1.4472616910934448,600,0.0,0.0
1973-09-11 00:00:00-04:00,1.4472621007810664,1.4563643781444693,1.4381598234176636,1.4381598234176636,2600,0.0,0.0
1973-09-12 00:00:00-04:00,1.4381595159032543,1.4472617913203636,1.4290572404861452,1.429057240486145,1400,0.0,0.0
1973-09-13 00:00:00-04:00,1.4290575460542605,1.4472621007810664,1.4199552686908576,1.4381598234176636,5000,0.0,0.0
1973-09-14 00:00:00-04:00,1.4381598234176636,1.4381598234176636,1.4199552686908576,1.4381598234176636,2400,0.0,0.0
1973-09-17 00:00:00-04:00,1.4381594163066935,1.4654662406669472,1.4199548667331912,1.4472616910934448,5400,0.0,0.0
1973-09-18 00:00:00-04:00,1.4472613113897819,1.4745681285858154,1.4472613113897819,1.4745681285858154,3600,0.0,0.0
1973-09-19 00:00:00-04:00,1.4745676204562186,1.483669889718294,1.4563630819320679,1.4563630819320679,1400,0.0,0.0
1973-09-20 00:00:00-04:00,1.4563631865144508,1.4836699962615967,1.4563631865144508,1.4836699962615967,11200,0.0,0.0
1973-09-21 00:00:00-04:00,1.4836714921928034,1.4927737712860107,1.4654669340063886,1.4927737712860107,2800,0.0,0.0
1973-09-24 00:00:00-04:00,1.492772266177312,1.492772266177312,1.4654654564301661,1.4836699962615967,1800,0.0,0.0
1973-09-25 00:00:00-04:00,1.4836699962615967,1.4836699962615967,1.4563631865144508,1.4836699962615967,6400,0.0,0.0
