Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2000-05-26 00:00:00-04:00,11.794026109825726,11.813204324443623,11.678962440461572,11.744165420532227,838200,0.0,0.0,0.0
2000-05-30 00:00:00-04:00,11.909091177179077,11.978129386901855,11.909091177179077,11.978129386901855,1800,0.0,0.0,0.0
2000-05-31 00:00:00-04:00,12.12003671237421,12.258113090651275,12.12003671237421,12.212087631225586,14400,0.0,0.0,0.0
2000-06-01 00:00:00-04:00,12.300309038074415,12.495917320251465,12.300309038074415,12.495917320251465,905400,0.0,0.0,0.0
2000-06-02 00:00:00-04:00,12.699190487051276,12.852607727050781,12.699190487051276,12.852607727050781,1552200,0.0,0.0,0.0
2000-06-05 00:00:00-04:00,12.864115237946704,12.896717071533203,12.85644339205254,12.896717071533203,348000,0.0,0.0,0.0
2000-06-06 00:00:00-04:00,12.890963668994546,12.96192052481358,12.77781867980957,12.77781867980957,87600,0.0,0.0,0.0
2000-06-07 00:00:00-04:00,12.837265207893973,12.837265207893973,12.775896072387695,12.775896072387695,88200,0.0,0.0,0.0
2000-06-08 00:00:00-04:00,12.87179273475037,12.87179273475037,12.772069931030273,12.772069931030273,1222200,0.0,0.0,0.0
2000-06-09 00:00:00-04:00,12.875624561822542,12.875624561822542,12.841105461120605,12.841105461120605,4200,0.0,0.0,0.0
2000-06-12 00:00:00-04:00,12.960002679903454,12.960002679903454,12.726040840148926,12.726040840148926,3600,0.0,0.0,0.0
2000-06-13 00:00:00-04:00,12.666588440188006,12.718365669250488,12.543852964780747,12.718365669250488,336000,0.0,0.0,0.0
2000-06-14 00:00:00-04:00,12.856444141825687,12.856444141825687,12.798912317191666,12.827679634094238,6600,0.0,0.0,0.0
2000-06-15 00:00:00-04:00,12.764392852783201,12.764392852783201,12.641660169898767,12.764392852783203,58200,0.0,0.0,0.0
2000-06-16 00:00:00-04:00,12.848774890021735,12.848774890021735,12.733711242675781,12.733711242675781,72000,0.0,0.0,0.0
2000-06-19 00:00:00-04:00,12.929315455016066,12.929315455016066,12.894796371459961,12.894796371459961,27000,0.0,0.0,0.0
2000-06-20 00:00:00-04:00,12.967673099221766,12.979179463994813,12.841103086718272,12.898634910583496,448800,0.0,0.0,0.0
2000-06-21 00:00:00-04:00,12.892403920242648,12.942284308160387,12.892403920242648,12.907751083374023,6000,0.007167,0.0,0.0
2000-06-22 00:00:00-04:00,12.938449223577068,12.938449223577068,12.842524528503418,12.842524528503418,2400,0.0,0.0,0.0
2000-06-23 00:00:00-04:00,12.644915149641724,12.644915149641724,12.6353235244751,12.635323524475098,6000,0.0,0.0,0.0
2000-06-26 00:00:00-04:00,12.639159540471233,12.666017776977302,12.616137391945786,12.621892929077148,74400,0.0,0.0,0.0
2000-06-27 00:00:00-04:00,12.788806146135382,12.804153311547147,12.731250762939453,12.731250762939453,724800,0.0,0.0,0.0
2000-06-28 00:00:00-04:00,12.746598886199115,13.084259033203125,12.746598886199115,13.084259033203125,456000,0.0,0.0,0.0
2000-06-29 00:00:00-04:00,12.984497349417978,13.04588883509983,12.915430874155117,12.953800201416016,112200,0.0,0.0,0.0
2000-06-30 00:00:00-04:00,12.949962662713942,12.972984818558766,12.880896195179467,12.930776596069336,460800,0.0,0.0,0.0
2000-07-03 00:00:00-04:00,12.969140933390383,13.06314754486084,12.93844380727592,13.06314754486084,356400,0.0,0.0,0.0
2000-07-05 00:00:00-04:00,13.026703566164075,13.026703566164075,12.967228729314924,12.992170333862305,3600,0.0,0.0,0.0
2000-07-06 00:00:00-04:00,12.921184770224166,13.05356216430664,12.800318453887993,13.05356216430664,416400,0.0,0.0,0.0
2000-07-07 00:00:00-04:00,13.113031860459081,13.26075778448908,13.113031860459081,13.243491172790527,54000,0.0,0.0,0.0
2000-07-10 00:00:00-04:00,13.260755879597175,13.375866607718677,13.237733733972874,13.341333389282227,67200,0.0,0.0,0.0
2000-07-11 00:00:00-04:00,13.341331517471385,13.406561857695149,13.299123319641877,13.322145462036133,374400,0.0,0.0,0.0
2000-07-12 00:00:00-04:00,13.437265093868138,13.496739937973643,13.437265093868138,13.477555274963379,18600,0.0,0.0,0.0
2000-07-13 00:00:00-04:00,13.556209439808118,13.556209439808118,13.464120845391806,13.496734619140625,205200,0.0,0.0,0.0
2000-07-14 00:00:00-04:00,13.548535709038143,13.548535709038143,13.469876225631383,13.498655319213867,12600,0.0,0.0,0.0
2000-07-17 00:00:00-04:00,13.467958633402763,13.586905479431152,13.467958633402763,13.586905479431152,12600,0.0,0.0,0.0
2000-07-18 00:00:00-04:00,13.510174626260023,13.538950927054618,13.416166516696077,13.48331356048584,33600,0.0,0.0,0.0
2000-07-19 00:00:00-04:00,13.406571098679375,13.406571098679375,13.20512580871582,13.20512580871582,316200,0.0,0.0,0.0
2000-07-20 00:00:00-04:00,13.260756492614746,13.356681167043561,13.260756492614746,13.260756492614746,72000,0.0,0.0,0.0
2000-07-21 00:00:00-04:00,13.31831905119552,13.31831905119552,13.0151948928833,13.0151948928833,21000,0.0,0.0,0.0
2000-07-24 00:00:00-04:00,13.022867941492002,13.057401182477387,12.869387807219963,12.877062797546387,645600,0.0,0.0,0.0
2000-07-25 00:00:00-04:00,12.965303261378098,12.972978246212005,12.846356453214373,12.892400741577148,124800,0.0,0.0,0.0
2000-07-26 00:00:00-04:00,12.827177894648155,12.827177894648155,12.712067106451126,12.80991268157959,117000,0.0,0.0,0.0
2000-07-27 00:00:00-04:00,12.859789388565142,12.859789388565142,12.646835896795743,12.70630931854248,42000,0.0,0.0,0.0
2000-07-28 00:00:00-04:00,12.623816089250122,12.623816089250122,12.360979347931677,12.395512580871582,14400,0.0,0.0,0.0
2000-07-31 00:00:00-04:00,12.362896096935302,12.566259384155273,12.286154650559173,12.566259384155273,29400,0.0,0.0,0.0
2000-08-01 00:00:00-04:00,12.604625516800304,12.627647663862954,12.585439457474536,12.59695053100586,6600,0.0,0.0,0.0
2000-08-02 00:00:00-04:00,12.725491226287675,12.740839792037665,12.72357177734375,12.72357177734375,12600,0.0,0.0,0.0
2000-08-03 00:00:00-04:00,12.385921005141192,12.631489753723145,12.385921005141192,12.631489753723145,17400,0.0,0.0,0.0
2000-08-04 00:00:00-04:00,12.733168218815699,12.733168218815699,12.646836553172662,12.68136978149414,19200,0.0,0.0,0.0
2000-08-07 00:00:00-04:00,12.7715378789027,12.865545929401229,12.7715378789027,12.863626480102539,423000,0.0,0.0,0.0
2000-08-08 00:00:00-04:00,12.884731388839633,12.900081365217138,12.865548133850098,12.865548133850098,6000,0.0,0.0,0.0
2000-08-09 00:00:00-04:00,12.915428921480038,12.915428921480038,12.829095840454102,12.829095840454102,3600,0.0,0.0,0.0
2000-08-10 00:00:00-04:00,12.831018267178916,12.834854357118454,12.823343276977539,12.823343276977539,9600,0.0,0.0,0.0
2000-08-11 00:00:00-04:00,12.700548603292138,12.892400741577148,12.700548603292138,12.892400741577148,23400,0.0,0.0,0.0
2000-08-14 00:00:00-04:00,12.980661276443184,13.065074920654295,12.980661276443184,13.065074920654297,7200,0.0,0.0,0.0
2000-08-15 00:00:00-04:00,13.095771977912793,13.095771977912793,12.982579231262205,12.982579231262207,8400,0.0,0.0,0.0
2000-08-16 00:00:00-04:00,13.0151948928833,13.055482266183056,12.948046460394886,13.0151948928833,7200,0.0,0.0,0.0
2000-08-17 00:00:00-04:00,13.022865295410156,13.022865295410156,13.022865295410156,13.022865295410156,600,0.0,0.0,0.0
2000-08-18 00:00:00-04:00,13.233901432829809,13.233901432829809,13.15715998868546,13.164834976196289,127200,0.0,0.0,0.0
2000-08-21 00:00:00-04:00,13.214714000275084,13.239654194200032,13.168669700622559,13.168669700622559,3600,0.0,0.0,0.0
2000-08-22 00:00:00-04:00,13.222385647944552,13.254999415188802,13.201281547546387,13.201281547546387,39000,0.0,0.0,0.0
2000-08-23 00:00:00-04:00,13.11494940575488,13.220468521118164,13.107277229950109,13.220468521118164,41400,0.0,0.0,0.0
2000-08-24 00:00:00-04:00,13.260759131199379,13.33750057220459,13.260759131199379,13.33750057220459,55800,0.0,0.0,0.0
2000-08-25 00:00:00-04:00,13.421918408511436,13.444940567016602,13.421918408511436,13.444940567016602,19200,0.0,0.0,0.0
2000-08-28 00:00:00-04:00,13.512079654679994,13.512079654679994,13.418073040839172,13.423827171325684,16800,0.0,0.0,0.0
2000-08-29 00:00:00-04:00,13.460282427383122,13.55237102508545,13.460282427383122,13.55237102508545,87600,0.0,0.0,0.0
2000-08-30 00:00:00-04:00,13.560050686660968,13.6041769566599,13.552375697432737,13.590747833251953,75600,0.0,0.0,0.0
2000-08-31 00:00:00-04:00,13.659811694786848,13.769165516200125,13.659811694786848,13.736550331115723,220200,0.0,0.0,0.0
2000-09-01 00:00:00-04:00,13.797945250597742,13.801781339495149,13.698181646371332,13.786434173583984,601800,0.0,0.0,0.0
2000-09-05 00:00:00-04:00,13.80561268927157,13.80561268927157,13.655968739461741,13.66939926147461,160200,0.0,0.0,0.0
2000-09-06 00:00:00-04:00,13.644458861781516,13.644458861781516,13.554289718334074,13.625275611877441,44400,0.0,0.0,0.0
2000-09-07 00:00:00-04:00,13.68283012113263,13.847821235656738,13.68283012113263,13.847821235656738,107400,0.0,0.0,0.0
2000-09-08 00:00:00-04:00,13.786433860508659,13.786433860508659,13.686670258547775,13.705856323242188,72600,0.0,0.0,0.0
2000-09-11 00:00:00-04:00,13.648302766128886,13.744227481796283,13.609930631604447,13.61376953125,52800,0.0,0.0,0.0
2000-09-12 00:00:00-04:00,13.677078681607517,13.677078681607517,13.663649559020996,13.663649559020996,27000,0.0,0.0,0.0
2000-09-13 00:00:00-04:00,13.556213417856878,13.642545095295622,13.556213417856878,13.60225772857666,109200,0.0,0.0,0.0
2000-09-14 00:00:00-04:00,13.732710689162563,13.830554813938658,13.732710689162563,13.780673027038574,148200,0.0,0.0,0.0
2000-09-15 00:00:00-04:00,13.72887637388455,13.72887637388455,13.632948875427248,13.632948875427246,324000,0.0,0.0,0.0
2000-09-18 00:00:00-04:00,13.686671356292454,13.686671356292454,13.306805792997542,13.314480781555176,136800,0.0,0.0,0.0
2000-09-19 00:00:00-04:00,13.322150166937293,13.350929260253906,13.256922613997636,13.350929260253906,14400,0.0,0.0,0.0
2000-09-20 00:00:00-04:00,13.401692733671108,13.405534635524093,13.309532089514013,13.378652572631836,558600,0.014167,0.0,0.0
2000-09-21 00:00:00-04:00,13.301859768404203,13.313379853996782,13.152098655700684,13.152098655700684,127800,0.0,0.0,0.0
2000-09-22 00:00:00-04:00,13.002331795633745,13.31721305847168,12.948570482458623,13.31721305847168,563400,0.0,0.0,0.0
2000-09-25 00:00:00-04:00,13.35561493670284,13.363295929341376,13.19625473022461,13.19625473022461,388800,0.0,0.0,0.0
2000-09-26 00:00:00-04:00,13.211616152800206,13.234656319666732,13.061855068167791,13.09449577331543,67800,0.0,0.0,0.0
2000-09-27 00:00:00-04:00,13.182817775383732,13.213538942923705,13.040737648988348,13.07145881652832,72600,0.0,0.0,0.0
2000-09-28 00:00:00-04:00,13.040735600745842,13.455458641052246,13.040735600745842,13.455458641052246,232800,0.0,0.0,0.0
2000-09-29 00:00:00-04:00,13.39401524899934,13.449694703555997,13.349854469299316,13.349854469299316,58200,0.0,0.0,0.0
2000-10-02 00:00:00-04:00,13.399771905449327,13.399771905449327,13.165531228161019,13.209692001342773,77400,0.0,0.0,0.0
2000-10-03 00:00:00-04:00,13.148253871861545,13.250015074390701,12.986972708896163,12.994653701782227,136200,0.0,0.0,0.0
2000-10-04 00:00:00-04:00,12.948576655065521,13.121377944946289,12.921697391924399,13.121377944946289,44400,0.0,0.0,0.0
2000-10-05 00:00:00-04:00,13.138647446574883,13.155927561585722,13.015767097473145,13.015767097473145,114000,0.0,0.0,0.0
2000-10-06 00:00:00-04:00,12.979291463935619,12.979291463935619,12.679769374864179,12.704729080200195,35400,0.0,0.0,0.0
2000-10-09 00:00:00-04:00,12.691288495743875,12.691288495743875,12.514645402068634,12.687446594238281,52800,0.0,0.0,0.0
2000-10-10 00:00:00-04:00,12.679773475147528,12.723932859925018,12.528091430664062,12.528091430664062,79800,0.0,0.0,0.0
2000-10-11 00:00:00-04:00,12.410967381479631,12.499288947493941,12.29576656168706,12.441688537597656,54000,0.0,0.0,0.0
2000-10-12 00:00:00-04:00,12.353366921605362,12.420567868299155,12.199766766676692,12.222806930541992,41400,0.0,0.0,0.0
2000-10-13 00:00:00-04:00,12.257367259985637,12.599130630493164,12.257367259985637,12.599130630493164,317400,0.0,0.0,0.0
2000-10-16 00:00:00-04:00,12.710491127003582,12.750812825311307,12.645212529178288,12.683611869812012,25200,0.0,0.0,0.0
2000-10-17 00:00:00-04:00,12.733529720399416,12.733529720399416,12.339927386850167,12.40712833404541,61800,0.0,0.0,0.0
2000-10-18 00:00:00-04:00,12.08840247593479,12.355285255002304,12.06152322796029,12.268884658813477,631800,0.0,0.0,0.0
2000-10-19 00:00:00-04:00,12.487767735997764,12.693209648132324,12.487767735997764,12.693209648132324,30000,0.0,0.0,0.0
2000-10-20 00:00:00-04:00,12.702813558233455,12.892893537924218,12.695132564728597,12.864094734191895,69000,0.0,0.0,0.0
2000-10-23 00:00:00-04:00,12.856409511769437,12.956251144409178,12.842969886947074,12.95625114440918,66600,0.0,0.0,0.0
2000-10-24 00:00:00-04:00,12.950490003172886,12.967771530151367,12.931290337794321,12.967771530151367,311400,0.0,0.0,0.0
2000-10-25 00:00:00-04:00,12.618328035903469,12.764250002317437,12.514647304837712,12.591448783874512,456600,0.0,0.0,0.0
2000-10-26 00:00:00-04:00,12.633683756088882,12.760404586791992,12.42824194058986,12.760404586791992,73800,0.0,0.0,0.0
2000-10-27 00:00:00-04:00,12.825690357399667,12.844891431575363,12.743130238476212,12.77385139465332,190800,0.0,0.0,0.0
2000-10-30 00:00:00-05:00,12.737367535761743,12.879447564229276,12.706646389396147,12.841048240661621,165600,0.0,0.0,0.0
2000-10-31 00:00:00-05:00,12.91784738484758,13.420891761779785,12.91784738484758,13.420891761779785,295200,0.0,0.0,0.0
2000-11-01 00:00:00-05:00,13.36329574281872,13.36329574281872,13.246175372446798,13.286494255065918,467400,0.0,0.0,0.0
2000-11-02 00:00:00-05:00,13.344093767203224,13.530336026487843,13.344093767203224,13.522656440734863,131400,0.0,0.0,0.0
2000-11-03 00:00:00-05:00,13.513056266808832,13.578337669372557,13.486177012821432,13.578337669372559,186000,0.0,0.0,0.0
2000-11-06 00:00:00-05:00,13.591780109165658,13.591780109165658,13.445858101921347,13.455458641052246,523200,0.0,0.0,0.0
2000-11-07 00:00:00-05:00,13.420889026074324,13.5264892578125,13.394009785273669,13.5264892578125,482400,0.0,0.0,0.0
2000-11-08 00:00:00-05:00,13.49385517012699,13.501536162333515,13.246174812316895,13.246174812316895,152400,0.0,0.0,0.0
2000-11-09 00:00:00-05:00,13.117532957254049,13.248092935634888,13.027291855460929,13.198173522949219,157800,0.0,0.0,0.0
2000-11-10 00:00:00-05:00,13.111764832900267,13.111764832900267,12.902483940124512,12.902483940124512,284400,0.0,0.0,0.0
2000-11-13 00:00:00-05:00,12.691287222472909,12.842967784962136,12.508885513618084,12.841048240661621,171000,0.0,0.0,0.0
2000-11-14 00:00:00-05:00,12.994650830194319,13.107932090759277,12.986969839005617,13.107932090759277,453600,0.0,0.0,0.0
2000-11-15 00:00:00-05:00,13.081048866291706,13.292250769844845,13.081048866291706,13.267291069030762,107400,0.0,0.0,0.0
2000-11-16 00:00:00-05:00,13.190493278223204,13.230813563353143,12.986970901489258,12.986970901489258,55800,0.0,0.0,0.0
2000-11-17 00:00:00-05:00,13.11752879883067,13.175129184638593,13.021526280804906,13.090646743774414,207600,0.0,0.0,0.0
2000-11-20 00:00:00-05:00,12.960094186294837,12.960094186294837,12.756571769714355,12.756571769714355,109800,0.0,0.0,0.0
2000-11-21 00:00:00-05:00,12.814172993667253,12.814172993667253,12.641371726989746,12.641371726989746,70800,0.0,0.0,0.0
2000-11-22 00:00:00-05:00,12.572243526055292,12.614484747342646,12.42632442073333,12.470483779907227,14400,0.0,0.0,0.0
2000-11-24 00:00:00-05:00,12.541529075390537,12.771930694580078,12.541529075390537,12.771930694580078,79800,0.0,0.0,0.0
2000-11-27 00:00:00-05:00,12.925521770901693,12.975441149207324,12.827601151425164,12.846800804138184,138000,0.0,0.0,0.0
2000-11-28 00:00:00-05:00,12.81801297410481,12.81801297410481,12.4052095413208,12.4052095413208,332400,0.0,0.0,0.0
2000-11-29 00:00:00-05:00,12.47240387514575,12.47240387514575,12.249680519104004,12.249680519104004,115800,0.0,0.0,0.0
2000-11-30 00:00:00-05:00,12.142158548340543,12.234319144532881,11.957837355955867,12.073038101196289,267000,0.0,0.0,0.0
2000-12-01 00:00:00-05:00,12.24008426004794,12.48008497469929,12.22664323002065,12.38024616241455,160800,0.0,0.0,0.0
2000-12-04 00:00:00-05:00,12.395605665876582,12.418645825106836,12.288085860308543,12.339924812316895,96600,0.0,0.0,0.0
2000-12-05 00:00:00-05:00,12.476249061814178,12.819931983947754,12.476249061814178,12.819931983947754,249600,0.0,0.0,0.0
2000-12-06 00:00:00-05:00,12.87176727717448,12.892887890671352,12.62984561920166,12.62984561920166,199200,0.0,0.0,0.0
2000-12-07 00:00:00-05:00,12.602961985154426,12.656723272383914,12.599122897680283,12.654802322387695,454800,0.0,0.0,0.0
2000-12-08 00:00:00-05:00,12.83720633954147,13.019608048396295,12.83720633954147,12.841048240661621,646200,0.0,0.0,0.0
2000-12-11 00:00:00-05:00,13.048411244037185,13.344091415405273,13.048411244037185,13.344091415405273,343200,0.0,0.0,0.0
2000-12-12 00:00:00-05:00,13.278815089893616,13.307613887839228,13.154013736249437,13.163614273071289,2447400,0.0,0.0,0.0
2000-12-13 00:00:00-05:00,13.22153123233733,13.22153123233733,12.949641227722168,12.949641227722168,1388400,0.202667,0.0,0.0
2000-12-14 00:00:00-05:00,12.95352755266837,12.972946235744182,12.71465300097614,12.751551628112793,105000,0.0,0.0,0.0
2000-12-15 00:00:00-05:00,12.71659631293981,12.71659631293981,12.555406428485862,12.710771560668945,382800,0.0,0.0,0.0
2000-12-18 00:00:00-05:00,12.821463832051796,12.926334946583362,12.802045151827391,12.844768524169922,757200,0.0,0.0,0.0
2000-12-19 00:00:00-05:00,12.848656091987241,12.978773497934993,12.689406394958496,12.689406394958496,186600,0.0,0.0,0.0
2000-12-20 00:00:00-05:00,12.54181588494153,12.54181588494153,12.299059461866651,12.33790111541748,468000,0.0,0.0,0.0
2000-12-21 00:00:00-05:00,12.328190773110453,12.530163964789578,12.264102824857043,12.421409606933594,404400,0.0,0.0,0.0
2000-12-22 00:00:00-05:00,12.553458215264792,12.848652839660645,12.524328776368609,12.848652839660645,534000,0.0,0.0,0.0
2000-12-26 00:00:00-05:00,12.86031127516761,13.023444175720215,12.86031127516761,13.023444175720215,520200,0.0,0.0,0.0
2000-12-27 00:00:00-05:00,12.91079853712029,13.252599716186522,12.91079853712029,13.252599716186523,197400,0.0,0.0,0.0
2000-12-28 00:00:00-05:00,13.485652422117562,13.792499542236328,13.485652422117562,13.792499542236328,643200,0.0,0.0,0.0
2000-12-29 00:00:00-05:00,13.808034886925094,13.877948987618385,13.435159683227539,13.435159683227539,1050000,0.0,0.0,0.0
2001-01-02 00:00:00-05:00,13.470117610911672,13.470117610911672,12.92051553546688,12.967124938964844,295800,0.0,0.0,0.0
2001-01-03 00:00:00-05:00,12.895264797118198,13.454577445983887,12.895264797118198,13.454577445983887,622800,0.0,0.0,0.0
2001-01-04 00:00:00-05:00,13.493421308617842,13.520609177031202,13.275909826874921,13.283679008483887,685200,0.0,0.0,0.0
2001-01-05 00:00:00-05:00,13.31474826804937,13.31474826804937,12.936045601863677,12.95352554321289,259800,0.0,0.0,0.0
2001-01-08 00:00:00-05:00,12.918569542024068,12.992366790771484,12.871960154433856,12.992366790771484,112800,0.0,0.0,0.0
2001-01-09 00:00:00-05:00,13.011789383961762,13.124426849998397,12.945758464525072,12.95741081237793,326400,0.0,0.0,0.0
2001-01-10 00:00:00-05:00,12.895262635479195,13.31863021850586,12.895262635479195,13.31863021850586,529200,0.0,0.0,0.0
2001-01-11 00:00:00-05:00,13.30697930010979,13.567214082460376,13.30697930010979,13.512838363647461,247800,0.0,0.0,0.0
2001-01-12 00:00:00-05:00,13.524497337019715,13.631310088240593,13.456524810384849,13.586642265319824,330600,0.0,0.0,0.0
2001-01-16 00:00:00-05:00,13.586633186422034,13.720635143234945,13.508949944347261,13.687621116638184,147600,0.0,0.0,0.0
2001-01-17 00:00:00-05:00,13.912899582295202,13.99834916188942,13.734231245030662,13.757535934448242,708600,0.0,0.0,0.0
2001-01-18 00:00:00-05:00,13.757544351285269,13.817747694977845,13.664325536583872,13.773079872131348,704400,0.0,0.0,0.0
