Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-06-28 00:00:00-04:00,1.8191633706556218,1.8191633706556218,1.7966350317001343,1.7966350317001343,176400,0.0,0.0
1990-06-29 00:00:00-04:00,1.8079002643964306,1.8135323524475098,1.8022681763453514,1.8135323524475098,69200,0.0,0.0
1990-07-02 00:00:00-04:00,1.8022682213708991,1.807900309562683,1.8022682213708991,1.807900309562683,62000,0.0,0.0
1990-07-03 00:00:00-04:00,1.8079002643964306,1.8135323524475098,1.8079002643964306,1.8135323524475098,29600,0.0,0.0
1990-07-05 00:00:00-04:00,1.7515792100660261,1.7515792100660261,1.7403150350816787,1.7459471225738525,31200,0.0,0.0
1990-07-06 00:00:00-04:00,1.7572107315063477,1.7572107315063477,1.7572107315063477,1.7572107315063477,21200,0.0,0.0
1990-07-09 00:00:00-04:00,1.7684754133224487,1.7684754133224487,1.7684754133224487,1.7684754133224487,19600,0.0,0.0
1990-07-10 00:00:00-04:00,1.7628432380247718,1.779739499092102,1.7628432380247718,1.779739499092102,6400,0.0,0.0
1990-07-11 00:00:00-04:00,1.779739885210241,1.7910040616989136,1.779739885210241,1.7910040616989136,22400,0.0,0.0
1990-07-12 00:00:00-04:00,1.7853708622223905,1.7966350317001343,1.7853708622223905,1.7966350317001343,3200,0.0,0.0
1990-07-13 00:00:00-04:00,1.8135319072523235,1.8247960805892944,1.8135319072523235,1.8247960805892944,5200,0.0,0.0
1990-07-16 00:00:00-04:00,1.830429056795632,1.847325325012207,1.830429056795632,1.847325325012207,8000,0.0,0.0
1990-07-17 00:00:00-04:00,1.8473245826310025,1.8811171054840088,1.8473245826310025,1.8811171054840088,16800,0.0,0.0
1990-07-18 00:00:00-04:00,1.869852269779552,1.869852269779552,1.8585880994796753,1.8585880994796753,6000,0.0,0.0
1990-07-19 00:00:00-04:00,1.858588295040534,1.864220380783081,1.858588295040534,1.864220380783081,18000,0.0,0.0
1990-07-20 00:00:00-04:00,1.8642201846296138,1.8642201846296138,1.8585880994796753,1.8585880994796753,1600,0.0,0.0
1990-07-23 00:00:00-04:00,1.8529571294784546,1.8529571294784546,1.8529571294784546,1.8529571294784546,8000,0.0,0.0
1990-07-24 00:00:00-04:00,1.8585880994796753,1.8585880994796753,1.8585880994796753,1.8585880994796753,800,0.0,0.0
1990-07-25 00:00:00-04:00,1.864220575754901,1.8698526620864868,1.864220575754901,1.8698526620864868,4400,0.0,0.0
1990-07-26 00:00:00-04:00,1.8585880994796753,1.8585880994796753,1.8585880994796753,1.8585880994796753,800,0.0,0.0
1990-07-27 00:00:00-04:00,1.847325325012207,1.847325325012207,1.847325325012207,1.847325325012207,800,0.0,0.0
1990-07-30 00:00:00-04:00,1.8529571294784546,1.8529571294784546,1.8529571294784546,1.8529571294784546,400,0.0,0.0
1990-07-31 00:00:00-04:00,1.8642208440575057,1.8811171054840088,1.8642208440575057,1.8811171054840088,12400,0.0,0.0
